Wall time,Step,Value
1517098370.950248,66976,0.953125
1517098409.4959154,67021,0.9453125
1517098765.2406604,67440,0.9765625
1517099465.2849069,68263,0.96875
1517099480.2784746,68281,0.953125
1517099563.1190677,68378,0.97265625
1517099606.5307646,68429,0.9609375
1517099743.896641,68590,0.9765625
1517100032.7591138,68929,0.96875
1517100082.7123716,68988,0.96875
1517100238.501208,69171,0.953125
1517100250.5631664,69185,0.96484375
1517100481.5767121,69455,0.94921875
1517100499.6421254,69476,0.93359375
1517100707.10456,69719,0.9375
1517100774.2892082,69798,0.9765625
1517100873.7223997,69915,0.95703125
1517103791.03722,70462,0.96875
1517103890.6186726,70580,0.95703125
1517103954.219433,70656,0.9765625
1517104172.5481215,70915,0.9609375
1517104240.7263975,70996,0.95703125
1517104603.986137,71428,0.96875
1517104710.2989557,71554,0.98046875
1517104731.9775934,71580,0.95703125
1517104829.3549333,71696,0.9609375
1517104958.9415488,71850,0.9609375
1517105005.9473984,71906,0.95703125
1517105048.8366141,71957,0.9609375
1517105067.2649972,71979,0.96875
1517105095.2169595,72012,0.9609375
1517105116.0681314,72037,0.96484375
1517105334.1254096,72297,0.953125
1517105335.5680082,72299,0.9609375
1517105421.065819,72401,0.97265625
1517105423.4193861,72404,0.97265625
1517105551.4814067,72558,0.96875
1517105689.3058252,72723,0.984375
1517105815.471037,72873,0.953125
1517105930.8017547,73009,0.9609375
1517106073.5911868,73179,0.97265625
1517106189.8831537,73318,0.97265625
1517106585.550227,73789,0.96484375
1517106589.682996,73794,0.984375
1517106629.2989028,73841,0.97265625
1517106679.4791045,73901,0.95703125
1517106698.5413709,73924,0.9765625
1517106920.5761876,74187,0.953125
1517107522.8225513,74901,0.9609375
1517107751.8978775,75171,0.9453125
1517108003.1786456,75469,0.98046875
1517108018.3473656,75487,0.953125
1517108085.9987557,75567,0.984375
1517108391.0202966,75928,0.97265625
1517108534.9400184,76099,0.96484375
1517108635.687172,76218,0.96484375
1517108814.8621771,76431,0.96484375
1517108857.923643,76482,0.95703125
1517108978.9456418,76626,0.96875
1517109019.0580926,76673,0.95703125
1517109117.3355858,76790,0.94140625
1517109215.2052526,76906,0.96875
1517109221.1792758,76913,0.9609375
1517109462.9324124,77198,0.96875
1517109742.9441137,77530,0.97265625
1517110056.7683709,77901,0.97265625
1517110253.575101,78135,0.98046875
1517110314.7367623,78208,0.9609375
1517110362.7601092,78265,0.97265625
1517110792.29761,78775,0.95703125
1517110849.9758964,78843,0.96875
1517110914.9901423,78920,0.96875
1517110927.0741537,78934,0.98046875
1517110960.150795,78973,0.95703125
1517110987.164934,79005,0.9765625
1517111334.0932264,79418,0.96484375
1517111485.3915832,79597,0.9765625
1517111804.2636046,79975,0.9765625
1517114134.7519808,80031,0.98046875
1517114138.3134153,80035,0.96484375
1517114192.964388,80100,0.98046875
1517114247.8974175,80165,0.9375
1517114437.067673,80390,0.9765625
1517114450.459325,80406,0.97265625
1517114572.0057397,80550,0.953125
1517114593.7898078,80576,0.98046875
1517114625.3859456,80613,0.98046875
1517114947.762859,80996,0.94921875
1517114964.1142352,81015,0.95703125
1517115049.9159324,81117,0.97265625
1517115271.3019488,81381,0.97265625
1517115366.5648987,81494,0.9765625
1517115396.018462,81529,0.95703125
1517115751.2444203,81952,0.95703125
1517116411.9163163,82736,0.9765625
1517116440.4954228,82770,0.96484375
1517116507.0816891,82849,0.95703125
1517116697.1710553,83075,0.984375
1517116740.9342258,83127,0.97265625
1517116858.6982398,83267,0.97265625
1517117063.0457087,83510,0.96875
1517117274.7917306,83762,0.9921875
1517117410.5396008,83923,0.96484375
1517117614.0943413,84165,0.96875
1517117641.154278,84197,0.97265625
1517117819.4979331,84409,0.96484375
1517117981.1183186,84601,0.96875
1517118052.6794586,84686,0.98046875
1517118164.03463,84818,0.95703125
1517118334.4690392,85020,0.984375
1517118361.2651074,85052,0.9609375
1517118392.3237073,85089,0.953125
1517118459.8113825,85169,0.96875
1517118586.5469196,85320,0.97265625
1517118745.5293763,85508,0.96484375
1517118771.53058,85539,0.96484375
1517118799.5287697,85572,0.96484375
1517118895.3470666,85686,0.97265625
1517118948.6504457,85749,0.9609375
1517119171.826307,86014,0.9765625
1517119817.5912879,86780,0.98046875
1517119828.446057,86793,0.9609375
1517119889.23015,86865,0.97265625
1517120009.3682327,87008,0.96875
1517120332.4362917,87393,0.9765625
1517120380.80864,87450,0.97265625
1517120470.7190807,87556,0.96484375
1517120524.861552,87621,0.96484375
1517120562.973763,87666,0.9765625
1517120700.0190704,87829,0.94921875
1517120960.1134067,88137,0.9765625
1517121412.571192,88674,0.94921875
1517121531.6860166,88815,0.96484375
1517121907.207751,89262,0.97265625
1517121979.2575562,89347,0.97265625
1517121992.8775406,89363,0.97265625
1517122316.233958,89745,0.9765625
1517122330.6625352,89762,0.9765625
1517122440.6324844,89892,0.96484375
1517122508.9604309,89973,0.9609375
1517124937.2693665,90035,0.98046875
1517125106.8819277,90237,0.9765625
1517125286.2947624,90450,0.97265625
1517125812.9836433,91074,0.97265625
1517125829.6791894,91094,0.9453125
1517126003.6581001,91300,0.96875
1517126276.5036724,91624,0.9765625
1517126293.6513798,91644,0.984375
1517126296.030382,91647,0.97265625
1517126367.8423522,91732,0.96875
1517126370.2357678,91735,0.96484375
1517126672.8052063,92094,0.9609375
1517126695.0984235,92120,0.98046875
1517127210.407139,92729,0.97265625
1517127259.8755994,92788,0.9765625
1517127544.5734172,93126,0.96484375
1517127625.499775,93223,0.95703125
1517127834.8858979,93471,0.9765625
1517128197.2690833,93901,0.9765625
1517128600.461377,94380,0.96875
1517128731.5278077,94536,0.9765625
1517128939.2969027,94784,0.97265625
1517129029.3921385,94891,0.96875
1517129169.8772619,95057,0.98046875
1517129277.1649346,95184,0.96484375
1517129393.6883817,95321,0.96484375
1517129440.651099,95377,0.97265625
1517129467.6522002,95409,0.984375
1517129526.7826116,95480,0.9765625
1517129848.9407039,95860,0.97265625
1517129924.1262457,95949,0.97265625
1517129943.103102,95972,0.9765625
1517130220.546728,96301,0.9609375
1517130418.798174,96535,0.96875
1517130474.0023224,96600,0.96875
1517130825.0327547,97018,0.96484375
1517130941.9060113,97156,0.9765625
1517131001.3665962,97226,0.96875
